Location_Name,Date,CHL,mlotst,no3,o2,po4,so,thetao,uo,vo,NDVI_daily,NDVI_raw,precip_mm_day,wind_speed_ms,wind_u_ms,wind_v_ms
Gigantes Polygon,2019-01-01,1.3116429,15.41184802353382,0.0072315843,202.94763,0.03257145,34.3653675634414,27.70955533906817,-0.2020325325429439,0.1931821648031473,,,0.0,6.457239582355236,-5.98994539927661,-2.41040792684891
Gigantes Polygon,2019-01-02,0.95708054,18.31110656261444,0.0073850737,202.9467,0.034364775,34.36384163796902,27.61397136747837,-0.1785332802683115,0.1800592057406902,,,0.0,6.437874610735702,-5.878523121745928,-2.623754104366147
Gigantes Polygon,2019-01-03,0.80305266,15.030366636812689,0.0072939703,202.97495,0.035447225,34.36002682428807,27.66304513067007,-0.1788384653627872,0.157475508749485,,,0.0,6.334693961466674,-5.693760050732269,-2.775995490673757
Gigantes Polygon,2019-01-04,0.8436176,17.777032621204853,0.0069101234,202.95801,0.036698714,34.341715718619525,27.541459389030933,-0.1986754965037107,0.1596118044108152,,,19.45557797615635,7.726544840118504,-6.57701313902692,-4.054793259380308
Gigantes Polygon,2019-01-05,0.8657492,16.937773570418358,0.006805291,203.05913,0.03823789,34.33408609125763,27.520950950682163,-0.1709036529064178,0.1373332925140857,,,0.0,6.958499615122699,-5.960400872954184,-3.590297692707237
Gigantes Polygon,2019-01-06,1.1395215,17.09036612510681,0.0065835915,203.31035,0.04002992,34.33332312852144,27.463820300996304,-0.1705984678119421,0.1159703359007835,,,0.0,6.871716523291034,-5.622175637945573,-3.948931412128252
Gigantes Polygon,2019-01-07,2.0901003,17.09036612510681,0.0065226257,203.57674,0.042056672,34.33256016578525,27.36750388517976,-0.1626636553555727,0.1205481123179197,,,0.0,6.518484594542152,-5.630737381188204,-3.2820041502717383
Gigantes Polygon,2019-01-08,2.5293934,16.937773570418358,0.0064440994,203.82796,0.04408022,34.33408609125763,27.341868337243795,-0.1687673572450876,0.1226844079792499,,,0.0,6.746892051580443,-5.913062044469322,-3.2483804473385893
Gigantes Polygon,2019-01-09,1.57433,16.63258846104145,0.006363565,204.0368,0.046171635,34.33332312852144,27.31513412296772,-0.1748710591346025,0.1068147830665111,,,0.0,7.510792711809886,-6.083685828935162,-4.404314271802825
Gigantes Polygon,2019-01-10,1.3909496,18.31110656261444,0.00643558,204.18463,0.04837109,34.32721942663193,27.235297702252865,-0.1882992032915353,0.1306192204356193,,,0.0,7.500223136101528,-6.3362111316463805,-4.012062734381615
Gigantes Polygon,2019-01-11,1.5274053,16.937773570418358,0.0065064915,204.28824,0.05033985,34.32416757568717,27.21259193122387,-0.1644947659224271,0.133365886285901,,,0.0,5.923070696843358,-5.02219589460833,-3.139785879285032
Gigantes Polygon,2019-01-12,1.4362215,15.717033132910728,0.0064408714,204.34691,0.05208031,34.3218786874786,27.20892971009016,-0.1532029174268245,0.1052888575941324,,,0.0,5.792385663623066,-4.3232228152474095,-3.854729039882257
Gigantes Polygon,2019-01-13,1.392778,15.41184802353382,0.0062333923,204.32709,0.054160677,34.32035276200622,27.210394598543644,-0.1776177249848842,0.1202429272234439,,,0.0,6.691612151531986,-5.49768422741877,-3.814759109853728
Gigantes Polygon,2019-01-14,1.4850779,17.85332889854908,0.0060624112,204.24136,0.056570783,34.3218786874786,27.10235907509923,-0.1898251287639141,0.1391644030809402,,,0.0,7.617039790958449,-6.447403102967797,-4.054456564275229
Gigantes Polygon,2019-01-15,1.898914,16.708884738385677,0.0060649374,204.19489,0.058661856,34.32721942663193,27.06134219840169,-0.1879940181970596,0.1571703236550092,-0.0971732750886371,-0.0971732750886371,0.0,6.899106322655344,-6.1064515927942775,-3.209303806790814
Gigantes Polygon,2019-01-16,1.922685,18.46369911730289,0.0060555427,204.23785,0.060221143,34.33484905399382,26.98480177670717,-0.1651051361113786,0.1235999632626771,-0.0990243302678442,,0.0,6.860486175673482,-4.965387045400252,-4.733653736889846
Gigantes Polygon,2019-01-17,1.922215,17.09036612510681,0.0061307377,204.37755,0.061405536,34.343241644091904,26.9642933383584,-0.1532029174268245,0.1058992277830839,-0.1008753854470514,,7.583094721838583,6.766144302436059,-4.623999443157578,-4.939273257371855
Gigantes Polygon,2019-01-18,1.304247,18.46369911730289,0.006116976,204.60658,0.06301137,34.3508712714538,26.90752891078592,-0.1733451336622238,0.1077303383499383,-0.1027264406262585,,0.0,7.848596351379349,-5.724507932998947,-5.368971915232133
Gigantes Polygon,2019-01-19,1.311852,17.6244400665164,0.0062924116,204.83282,0.06533094,34.354686085134745,26.90203557908535,-0.1504562515765428,0.1138340402394533,-0.1045774958054656,,0.0,6.013970427989235,-3.960583407187526,-4.5247727366966926
Gigantes Polygon,2019-01-20,1.2825868,18.61629167199135,0.007329027,204.93388,0.067887455,34.331797203049064,26.833552043885,-0.1269569993019104,0.0695822015404701,-0.1064285509846728,,22.091234905004708,7.403666025501216,-2.295995332878133,-7.037265557131468
