Location_Name,Date,NDVI_daily,NDVI_raw,precip_mm_day,wind_speed_ms,wind_u_ms,wind_v_ms
Gigantes Polygon,2019-01-01,,,0.0,6.4572395823552355,-5.98994539927661,-2.41040792684891
Gigantes Polygon,2019-01-02,,,0.0,6.437874610735702,-5.878523121745928,-2.623754104366147
Gigantes Polygon,2019-01-03,,,0.0,6.334693961466674,-5.693760050732269,-2.775995490673757
Gigantes Polygon,2019-01-04,,,19.45557797615635,7.726544840118504,-6.57701313902692,-4.054793259380308
Gigantes Polygon,2019-01-05,,,0.0,6.958499615122699,-5.960400872954184,-3.590297692707237
Gigantes Polygon,2019-01-06,,,0.0,6.871716523291034,-5.622175637945573,-3.948931412128252
Gigantes Polygon,2019-01-07,,,0.0,6.518484594542152,-5.6307373811882035,-3.2820041502717383
Gigantes Polygon,2019-01-08,,,0.0,6.746892051580443,-5.913062044469322,-3.2483804473385893
Gigantes Polygon,2019-01-09,,,0.0,7.510792711809886,-6.083685828935162,-4.404314271802825
Gigantes Polygon,2019-01-10,,,0.0,7.500223136101528,-6.3362111316463805,-4.012062734381615
Gigantes Polygon,2019-01-11,,,0.0,5.923070696843358,-5.02219589460833,-3.1397858792850313
Gigantes Polygon,2019-01-12,,,0.0,5.792385663623066,-4.3232228152474095,-3.8547290398822565
Gigantes Polygon,2019-01-13,,,0.0,6.691612151531986,-5.49768422741877,-3.8147591098537275
Gigantes Polygon,2019-01-14,,,0.0,7.617039790958449,-6.447403102967797,-4.054456564275229
Gigantes Polygon,2019-01-15,-0.09717327508863713,-0.09717327508863713,0.0,6.899106322655344,-6.1064515927942775,-3.209303806790814
Gigantes Polygon,2019-01-16,-0.09902433026784427,,0.0,6.860486175673482,-4.965387045400252,-4.733653736889846
Gigantes Polygon,2019-01-17,-0.1008753854470514,,7.583094721838583,6.766144302436059,-4.623999443157578,-4.9392732573718545
Gigantes Polygon,2019-01-18,-0.10272644062625853,,0.0,7.848596351379349,-5.724507932998947,-5.368971915232133
Gigantes Polygon,2019-01-19,-0.10457749580546566,,0.0,6.013970427989235,-3.960583407187526,-4.5247727366966926
Gigantes Polygon,2019-01-20,-0.1064285509846728,,22.091234905004708,7.403666025501216,-2.2959953328781335,-7.037265557131468
Gigantes Polygon,2019-01-21,-0.10827960616387994,,0.0,7.394832462979803,0.9318168319660796,-7.333102133732822
